,date_id,country_id,income_per_person
723,4,145,1410
724,4,146,855
725,4,147,2370
726,4,148,497
727,4,149,1360
728,4,150,801
729,4,151,734
730,4,152,1020
731,4,153,1430
732,4,154,1410
733,4,155,363
734,4,156,696
735,4,157,2200
736,4,158,462
737,4,159,507
738,4,160,1620
739,4,161,799
740,4,162,1170
741,4,163,875
742,4,164,838
743,4,165,518
744,4,166,1640
745,4,167,1490
746,4,168,2700
747,4,169,503
748,4,170,557
749,4,171,562
750,4,172,795
751,4,173,524
752,4,174,683
753,4,175,663
754,4,176,1230
755,4,177,716
756,4,178,1190
757,4,179,946
758,4,180,719
759,4,181,464
760,4,182,766
761,4,183,1010
762,4,184,3190
763,4,185,2020
764,4,186,1830
765,4,187,502
766,4,188,586
767,4,189,1190
768,4,190,778
769,4,191,884
770,4,192,668
771,4,193,872
772,5,1,603
773,5,2,667
774,5,3,719
775,5,4,1210
776,5,5,628
777,5,6,757
778,5,7,1660
779,5,8,514
780,5,9,836
781,5,10,1880
782,5,11,775
783,5,12,1450
784,5,13,1260
785,5,14,876
786,5,15,914
787,5,16,609
788,5,17,2400
789,5,18,579
790,5,19,597
791,5,20,630
792,5,21,854
793,5,22,669
794,5,23,397
795,5,24,1120
796,5,25,1510
797,5,26,1090
798,5,27,480
799,5,28,420
800,5,29,385
801,5,30,626
802,5,31,1350
803,5,32,530
804,5,33,424
805,5,34,418
806,5,35,744
807,5,36,730
808,5,37,918
809,5,38,699
810,5,39,493
811,5,40,581
812,5,41,775
813,5,42,825
814,5,43,1120
815,5,44,932
816,5,45,854
817,5,46,1920
818,5,47,2030
819,5,48,762
820,5,49,663
821,5,50,667
822,5,51,529
823,5,52,1600
824,5,53,975
825,5,54,357
826,5,55,532
827,5,56,942
828,5,57,490
829,5,58,523
830,5,59,785
831,5,60,1250
832,5,61,1850
833,5,62,390
834,5,63,815
835,5,64,543
836,5,65,2050
837,5,66,698
838,5,67,1390
839,5,68,959
840,5,69,858
841,5,70,450
842,5,71,567
843,5,72,1220
844,5,73,634
845,5,74,675
846,5,75,1250
847,5,76,927
848,5,77,849
849,5,78,975
850,5,79,1530
851,5,80,3840
852,5,81,1500
853,5,82,880
854,5,83,3040
855,5,84,1360
856,5,85,1010
857,5,86,1130
858,5,87,1150
859,5,88,864
860,5,89,553
861,5,90,1110
862,5,91,508
863,5,92,865
864,5,93,754
865,5,94,2160
866,5,95,352
867,5,96,797
868,5,97,1050
869,5,98,1280
870,5,99,1450
